h/l,fc,rhov,rhoh,fyv,fyh,AL,BE,T2B,L2R,R2L,B2T,LC,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,DS
1.5,575,0.61,0.61,4140,4140,0.016,1,0.030578,0.02997,0.030877,0.030269,1.60076,2.6828,2.6598,2.6318,2.5968,2.5522,2.4935,2.414,2.3031,2.1516,1.986,1.876,1.8164,1.7774,1.7463,1.7201,1.6977,1.6786,1.6623,1.6484,1.6366,1.6265,1
1.5,575,0.61,0.61,4140,4140,0.016,1,0.035289,0.033587,0.035439,0.033736,1.48865,2.7509,2.7263,2.6962,2.6586,2.6105,2.5469,2.4602,2.339,2.1758,2.0062,1.8996,1.8428,1.8058,1.7765,1.7522,1.7317,1.7142,1.6992,1.6865,1.6755,1.6661,1
1.5,575,0.61,0.61,4140,4140,0.016,1,0.040157,0.037372,0.037787,0.035003,1.42578,2.6723,2.6496,2.6218,2.5873,2.5432,2.4856,2.4081,2.3019,2.1616,2.0125,1.9155,1.8623,1.8266,1.7981,1.7743,1.7542,1.7373,1.723,1.7109,1.7006,1.6917,1
1.5,575,0.61,0.61,4140,4140,0.016,1,0.044406,0.041782,0.041434,0.03881,1.35521,2.6792,2.6562,2.6281,2.5931,2.5485,2.4902,2.412,2.3056,2.1674,2.0246,1.9333,1.8827,1.849,1.8221,1.7999,1.7813,1.7655,1.7521,1.7406,1.7307,1.7221,1
1.5,575,0.61,0.61,4140,4140,0.016,1,0.066142,0.059186,0.052126,0.04517,2.20788,2.7363,2.7128,2.6842,2.6488,2.604,2.5457,2.4679,2.3618,2.2194,2.0623,1.9454,1.8325,1.6751,1.5227,1.4274,1.3716,1.3367,1.313,1.296,1.2831,1.273,2
1.2,411,0.292,0.289,5906,5906,0.013,1,0.014968,0.009872,0.011006,0.0059104,4.1537,2.1972,2.1792,2.1572,2.1298,2.0949,2.049,1.9864,1.8978,1.774,1.6484,1.6141,1.6018,1.573,1.5466,1.5256,1.509,1.4957,1.4849,1.4759,1.4683,1.4618,0
1.2,411,0.292,0.289,5906,5906,0.013,1,0.021875,0.016026,0.01607,0.010221,2.85802,2.4652,2.4456,2.4215,2.3915,2.353,2.3021,2.2321,2.132,1.9873,1.8208,1.7323,1.6982,1.672,1.6486,1.6288,1.612,1.5976,1.5849,1.5736,1.5634,1.5541,0
1.2,411,0.292,0.289,5906,5906,0.013,1,0.030842,0.02207,0.023971,0.015199,2.36527,2.6634,2.6409,2.6136,2.5794,2.5355,2.4775,2.3976,2.2819,2.1088,1.8996,1.7892,1.7503,1.7272,1.7082,1.6923,1.679,1.6676,1.6578,1.6491,1.6414,1.6346,1
1.2,411,0.292,0.289,5906,5906,0.013,1,0.03677,0.026931,0.027936,0.018097,2.17919,2.7374,2.7136,2.6846,2.6483,2.602,2.5406,2.4558,2.3323,2.1448,1.9169,1.8085,1.7746,1.754,1.736,1.7204,1.7069,1.6954,1.6855,1.6768,1.6691,1.6624,1
1.2,300,0.292,0.289,4338,4338,0.012,1,0.011103,0.0083324,0.008847,0.0060766,3.91614,2.3565,2.3384,2.3161,2.2883,2.2525,2.2048,2.1387,2.0427,1.8993,1.7138,1.6012,1.5681,1.5503,1.5331,1.516,1.4995,1.4843,1.4706,1.4585,1.448,1.4387,0
1.2,300,0.292,0.289,4338,4338,0.012,1,0.018418,0.013672,0.014494,0.0097479,2.79587,2.5464,2.5258,2.5006,2.469,2.4285,2.3747,2.3004,2.1931,2.0342,1.835,1.7195,1.68,1.6556,1.6338,1.6141,1.5966,1.5813,1.5679,1.5563,1.5461,1.5371,0
1.2,300,0.292,0.289,4338,4338,0.012,1,0.027045,0.020968,0.02021,0.014133,2.41005,2.7039,2.6808,2.6525,2.617,2.5716,2.5114,2.4286,2.3099,2.135,1.909,1.7749,1.7345,1.7106,1.6895,1.6706,1.654,1.6394,1.6267,1.6156,1.6058,1.5972,1
1,304,0.92,1.05,5200,5200,0.012,1,0.00887,0.0053371,0.0080677,0.0045349,4.89662,2.307,2.2855,2.2595,2.2272,2.1863,2.1333,2.0627,1.966,1.8338,1.6896,1.6316,1.6111,1.5932,1.5768,1.5611,1.5459,1.5315,1.5184,1.5067,1.4966,1.4878,1
1,304,0.92,1.05,5200,5200,0.012,1,0.01315,0.008843,0.011432,0.0071253,3.42721,2.5492,2.5261,2.4981,2.4635,2.4197,2.3627,2.2863,2.1795,2.0271,1.8447,1.7399,1.7011,1.6774,1.6571,1.6388,1.6223,1.6074,1.5941,1.5825,1.5722,1.5631,1
1,343,1.05,1.05,5200,5200,0.012,1,0.014566,0.010381,0.010336,0.0061507,3.54509,2.2694,2.2511,2.2287,2.2009,2.1654,2.1192,2.0567,1.9695,1.8451,1.6948,1.6118,1.5896,1.5741,1.5561,1.5366,1.5168,1.4978,1.4804,1.4649,1.4513,1.4395,1
1,343,1.05,1.05,5200,5200,0.012,1,0.02223,0.01786,0.017286,0.012916,2.20209,2.6298,2.6086,2.5826,2.5502,2.5087,2.4538,2.3786,2.2712,2.1124,1.9015,1.764,1.7187,1.696,1.6776,1.6604,1.6442,1.629,1.6152,1.6028,1.5917,1.5819,1
1,377,0.92,1.05,5200,5200,0.012,1,0.0068909,0.0042777,0.0046545,0.0020412,6.84425,2.1733,2.1544,2.1314,2.1026,2.0658,2.017,1.95,1.8542,1.7174,1.5777,1.5367,1.5276,1.5147,1.5011,1.4878,1.4747,1.4617,1.4489,1.4365,1.4248,1.4141,1
1,377,0.92,1.05,5200,5200,0.012,1,0.010966,0.0083649,0.0077026,0.0051013,4.14565,2.4429,2.4215,2.3955,2.3632,2.322,2.2681,2.1946,2.09,1.9397,1.7672,1.676,1.6478,1.629,1.6083,1.5862,1.5636,1.5416,1.521,1.5023,1.4859,1.4716,1
1,377,0.92,1.05,5200,5200,0.012,1,0.012706,0.0097131,0.0084467,0.005454,4.21878,2.4675,2.4458,2.4195,2.3868,2.3451,2.2904,2.2157,2.1096,1.9568,1.7819,1.6893,1.6513,1.6127,1.5629,1.5079,1.4567,1.4144,1.3813,1.3555,1.3352,1.319,1
1,313,0.92,1.05,5200,5200,0.012,1,0.016817,0.012377,0.015933,0.011494,3.05642,2.8036,2.7797,2.7504,2.7137,2.6664,2.6033,2.5155,2.3868,2.1899,1.9297,1.7759,1.7219,1.6918,1.6674,1.6449,1.6232,1.6028,1.5841,1.5676,1.5531,1.5406,1
1,313,0.92,1.05,5200,5200,0.012,1,0.022292,0.016272,0.020025,0.014005,2.82285,2.8793,2.8535,2.8221,2.7827,2.7321,2.6649,2.5718,2.436,2.2306,1.9612,1.8018,1.7437,1.7104,1.6846,1.6628,1.6441,1.628,1.614,1.6017,1.5908,1.5813,1
1,338,0.92,1.05,5200,5200,0.012,1,0.012291,0.0083257,0.0089829,0.0050171,4.12557,2.1241,2.1063,2.0845,2.0572,2.022,1.9751,1.91,1.8154,1.6792,1.5532,1.5454,1.5542,1.5417,1.5212,1.4991,1.478,1.4591,1.443,1.4294,1.4181,1.4086,1
1,338,0.92,1.05,5200,5200,0.012,1,0.021832,0.016795,0.018213,0.013177,2.33091,2.4464,2.4266,2.4024,2.3722,2.3332,2.2811,2.2082,2.1006,1.9424,1.7926,1.739,1.7113,1.6905,1.6709,1.6524,1.6354,1.6203,1.6071,1.5955,1.5853,1.5763,1
1,338,0.92,1.05,5200,5200,0.012,1,0.058685,0.05341,0.02498,0.019704,9.83799,2.633,2.6113,2.5848,2.5516,2.5088,2.4516,2.3716,2.2541,2.0811,1.9059,1.7912,1.554,1.3026,1.1976,1.1523,1.1272,1.111,1.0996,1.0911,1.0845,1.0792,1
1,304,0.92,1.05,5200,5200,0.012,1,0.021705,0.017058,0.013569,0.0089213,6.95224,2.656,2.6324,2.6037,2.568,2.5226,2.4631,2.3824,2.2692,2.1088,1.9199,1.7938,1.6418,1.3373,1.1131,1.0068,0.94898,0.91286,0.88826,0.87046,0.85702,0.84652,2
1,304,0.92,1.05,5200,5200,0.012,1,0.036137,0.030843,0.01691,0.011615,10.1911,2.7502,2.7266,2.6977,2.6618,2.6161,2.556,2.4741,2.3573,2.1864,1.9719,1.8099,1.5846,1.3318,1.197,1.1248,1.0792,1.0479,1.0254,1.0086,0.99569,0.98547,2
1,343,1.05,1.05,5200,5200,0.012,1,0.023681,0.019137,0.017911,0.013367,2.19282,2.6407,2.6194,2.5934,2.5609,2.5193,2.4642,2.3887,2.2806,2.1208,1.9078,1.7695,1.7256,1.7043,1.687,1.6708,1.6555,1.6411,1.6278,1.6158,1.605,1.5953,2
1,377,0.92,1.05,5200,5200,0.012,1,0.019141,0.01677,0.010345,0.0079742,7.15997,2.6865,2.6639,2.6363,2.6018,2.5576,2.4991,2.4186,2.3024,2.1296,1.9146,1.7696,1.5956,1.2304,0.99234,0.89344,0.84411,0.81501,0.79586,0.78231,0.77221,0.76438,2
1,377,0.92,1.05,5200,5200,0.012,1,0.039134,0.036501,0.01247,0.0098369,17.9212,2.7972,2.7735,2.7446,2.7084,2.662,2.6007,2.5161,2.3943,2.2129,1.9804,1.7817,1.4392,1.146,1.0479,1.0068,0.98385,0.96885,0.95819,0.95017,0.9439,0.93883,2
1,374,0.92,1.05,5200,5200,0.012,1,0.044714,0.039742,0.020566,0.015594,12.9058,2.9583,2.9327,2.9015,2.8625,2.8125,2.7461,2.6543,2.5212,2.3198,2.0509,1.8331,1.5215,1.2355,1.1271,1.08,1.053,1.035,1.022,1.0121,1.0043,0.99801,2
